Timestamp	Role(s) with the kubernetes project.	I have been involved with Kubernetes for	Activities within the Kubernetes Community	I have a clear understanding of where the Kubernetes project is going.	Over the last year, my enthusiasm for the Kubernetes project has increased	Different opinions are valued and listened to in the community	If I could change one thing about the project direction it would be:	I feel welcomed in the Kubernetes community	My contributions are valued by the Kubernetes community	My biggest challenge getting involved in the community is:	I understand how project decisions are made	I understand how I can/should participate in the Kubernetes community	What community process needs the most work?	I am able to be a productive Kubernetes developer	What change to the Kubernetes development process would significantly improve your productivity?	I am able to successfully manage applications using Kubernetes	What change to Kubernetes application management would significantly improve your productivity?	I use a managed Kubernetes solution (Google Container Engine, Azure Container Service, CoreOS Tectonic, etc)	I am able to effectively manage my Kubernetes cluster	What change to Kubernetes cluster operations would most significantly improve your ability to manage a cluster?		Anything else you'd like to tell us?
2/16/2017 14:01:14	I am a Kubernetes SRE/Operator, I am a Kubernetes user, I am a Kubernetes developer, I am a Kubernetes product manager, I am a Kubernetes community supporter	1 - 2 years	I have asked a question on Slack/Stack Overflow/etc, I have answered a question on Slack/Stack Overflow/etc, I have filed or commented on an issue, I have reviewed a pull request (PR), I have submitted a pull request (PR), I have participated in external Kubernetes community events (KubeCon, Meetups, etc)	5	6	6	Simplify the contributor experience.	6	6	The slow responses on Slack.	5	6	Contributor onboarding.	5	Simplify running developer builds, especially for non-Linux development.	7	Multi-tenancy should be solved by Kubernetes instead of me having to do it all.	No	5	The ability to diagnose failing nodes.  "NotReady" rarely is easy to figure out, especially when Calico is involved.		
2/16/2017 14:03:07	I am a Kubernetes user, I am a Kubernetes developer	1 - 2 years	I have asked a question on Slack/Stack Overflow/etc, I have answered a question on Slack/Stack Overflow/etc, I have filed or commented on an issue, I have reviewed a pull request (PR), I have submitted a pull request (PR), I have held a Kubernetes community role (release owner, note taker, etc)	5	7	5		7	7		3	5		5		6		No	6			
2/16/2017 14:06:25	I am a Kubernetes SRE/Operator, I am a Kubernetes user, I am a Kubernetes community supporter, I am a Kubernetes developer relations or evangelism	2 - 3 years	I have filed or commented on an issue, I have participated in external Kubernetes community events (KubeCon, Meetups, etc)	5	7	6	making 3rd party integrations easier	6	6	difficult to find the right people and place to ask	2	3	documentation	6	an in detail explained testing framework	7	kubernetes resource states (like replication controllers, services, etc.) should be easily exportable/extractable into a GIT repo (maybe automatically commit changes to it?)	Yes	7			
2/16/2017 14:06:28	I am a Kubernetes SRE/Operator, I am a Kubernetes user, I am a Kubernetes developer	1 - 2 years	I have asked a question on Slack/Stack Overflow/etc, I have answered a question on Slack/Stack Overflow/etc, I have filed or commented on an issue, I have reviewed a pull request (PR), I have submitted a pull request (PR), I have participated in external Kubernetes community events (KubeCon, Meetups, etc)	5	6	4		6	6		4	4		4		6		Yes	3	A more mature kops		
2/16/2017 14:06:34	I am a Kubernetes developer, I am a Kubernetes community supporter	1 - 2 years	I have asked a question on Slack/Stack Overflow/etc, I have answered a question on Slack/Stack Overflow/etc, I have filed or commented on an issue, I have reviewed a pull request (PR), I have submitted a pull request (PR), I have held a Kubernetes community role (release owner, note taker, etc), I have participated in external Kubernetes community events (KubeCon, Meetups, etc)	6	7	6		7	7	The physical distance between me and others in the community	5	6	The improved velocity, decreased sig-sprawl, better documentation for developers	5	Faster builds :)	6		No	7	Going from file-based information to cluster-stored information with certs, token files and integrating componentconfig		
2/16/2017 14:09:05	I am a Kubernetes SRE/Operator, I am a Kubernetes user	< 1 year	I have asked a question on Slack/Stack Overflow/etc, I have answered a question on Slack/Stack Overflow/etc, I have participated in external Kubernetes community events (KubeCon, Meetups, etc)	5	7	6		6	4	My lack of k8s knowledge.	2	2		4		6	Simpler ingress configuration, ie automatic shared ha-proxy setup or something similar.	No	6	Better kops documentation		
2/16/2017 14:10:03	I am a Kubernetes SRE/Operator, I am a Kubernetes user	1 - 2 years	I have asked a question on Slack/Stack Overflow/etc, I have answered a question on Slack/Stack Overflow/etc, I have filed or commented on an issue, I have participated in external Kubernetes community events (KubeCon, Meetups, etc)	6	7	6		6	5		5	5		6		7		Yes	7	Make AWS adopt it natively and drop ECS		
2/16/2017 14:11:02	I am a Kubernetes user, I am a Kubernetes developer	< 1 year	I have asked a question on Slack/Stack Overflow/etc, I have answered a question on Slack/Stack Overflow/etc, I have filed or commented on an issue, I have submitted a pull request (PR), I have participated in external Kubernetes community events (KubeCon, Meetups, etc)	5	6	6		6	6		5	5		5		5		No	4			
2/16/2017 14:12:44	I am a Kubernetes user, I am a Kubernetes developer, I am a Kubernetes community supporter	1 - 2 years	I have filed or commented on an issue, I have reviewed a pull request (PR), I have submitted a pull request (PR)	6	7	5		6	4		5	7	Getting people involved.	6	Switching local-up-cluster to a self-hosted mode ala bootkube/kubeadm and a quick(er) way to build new images.	6	Ability to setup ingress traffic easily, automated certificate management 	No	5	A full blown self hosted mode - kubeadm is not there yet but so far it has been promising		
2/16/2017 14:14:38	I am a Kubernetes SRE/Operator, I am a Kubernetes user, I am a Kubernetes community supporter	1 - 2 years	I have asked a question on Slack/Stack Overflow/etc, I have answered a question on Slack/Stack Overflow/etc, I have filed or commented on an issue, I have participated in external Kubernetes community events (KubeCon, Meetups, etc)	5	7	6		6	5		4	4		4		6		No	5	We went to a bootkube scenario, it's helped us greatly with upgrades.		
2/16/2017 14:17:01	I am a Kubernetes SRE/Operator, I am a Kubernetes user, I am a Kubernetes developer, I am a Kubernetes community supporter, I am a Kubernetes developer relations or evangelism	2 - 3 years	I have asked a question on Slack/Stack Overflow/etc, I have answered a question on Slack/Stack Overflow/etc, I have filed or commented on an issue, I have reviewed a pull request (PR), I have submitted a pull request (PR), I have participated in external Kubernetes community events (KubeCon, Meetups, etc)	6	7	6	Additional focus on laptop->kubernetes story	7	6	time	5	5	More cross-sig collaboration/organization	6	full-featured minikube	5	correlation of events / logs. history of critical events overtime.	Yes	7			
2/16/2017 14:19:55	I am a Kubernetes SRE/Operator, I am a Kubernetes user, I am a Kubernetes developer	1 - 2 years	I have asked a question on Slack/Stack Overflow/etc, I have answered a question on Slack/Stack Overflow/etc, I have filed or commented on an issue, I have reviewed a pull request (PR), I have submitted a pull request (PR), I have participated in external Kubernetes community events (KubeCon, Meetups, etc)	5	6	5	understanding of the controller framework and how we can make it more easier to contribute	5	5	understanding kubernetes code and getting answers to some of my questions	4	4			understanding of how e2e testing works, and tutorials on how to debug test failures	5	local storage support in statefulset and supporting more declarative and flexible way of supporting fault and update domains	No	5			
2/16/2017 14:21:50	I am a Kubernetes developer	< 1 year	I have answered a question on Slack/Stack Overflow/etc, I have filed or commented on an issue, I have submitted a pull request (PR), I have participated in external Kubernetes community events (KubeCon, Meetups, etc)	5	6	3		6	5		4	5		5		5		Yes	5			
2/16/2017 14:23:23	I am a Kubernetes SRE/Operator, I am a Kubernetes user, I am a Kubernetes community supporter	< 1 year	I have asked a question on Slack/Stack Overflow/etc, I have filed or commented on an issue, I have reviewed a pull request (PR), I have submitted a pull request (PR)	6	7	6		6	6	overcoming the huge featureset of kubernetes	5	6		4	n/a	6	More complete documentation for each feature. Most of the core features are very well documented, but some of the more difficult concepts to grab could use some help ( pv/pvc/storage class/ingress/cloud provider support and integration  )	No	6			
2/16/2017 14:35:46	I am a Kubernetes SRE/Operator, I am a Kubernetes user, I am a Kubernetes developer, I am a Kubernetes community supporter, I am a Kubernetes developer relations or evangelism	1 - 2 years	I have asked a question on Slack/Stack Overflow/etc, I have answered a question on Slack/Stack Overflow/etc, I have filed or commented on an issue, I have reviewed a pull request (PR), I have submitted a pull request (PR), I have held a Kubernetes community role (release owner, note taker, etc), I have participated in external Kubernetes community events (KubeCon, Meetups, etc)	3	2	5	Establish a BDFL role/group	6	5	I feel powerless and get angry over what I perceive as closed arbitrary decision making	2	5	Community ownership of test and release infra	4	Automated setup of a supported dev env, rather than a document partially explaining how to roll my own	6	Rolling updates of more pod-managing resources	No	4	Making self-hosted the defacto way of deploying kubernetes		
2/16/2017 14:37:55	I am a Kubernetes SRE/Operator	1 - 2 years	I have asked a question on Slack/Stack Overflow/etc, I have answered a question on Slack/Stack Overflow/etc, I have filed or commented on an issue, I have submitted a pull request (PR), I have participated in external Kubernetes community events (KubeCon, Meetups, etc)	4	4	4	The slack channels were really really useful at first. Now I usually get crickets when I ask questions. When I ask in sig groups, sometimes it's several days before I get any sort of response.	7	6	The codebase is really big now. It's hard to make meaningful contributions without knowing all the pieces.	2	3	Authoritative documentation before merging should be a priority. It's very difficult to find documentation on what is actually in master/release, as opposed to design proposals that are months/years old and partially implemented.	6	Honestly it's pretty great considering. I love that it's been dockerized so I don't have to worry about setting up all the tooling.	7	1. Disk space resource constraints! No way to protect against rogue disk users. 2. secrets are still really sub par. was fine as a placeholder, but it's very past due to have decent secret management.	Yes	7	Better user documentation for my developers. I have to keep teaching them the same things over and over.		
2/16/2017 14:39:46	I am a Kubernetes SRE/Operator, I am a Kubernetes user, I am a Kubernetes developer	< 1 year	I have asked a question on Slack/Stack Overflow/etc, I have participated in external Kubernetes community events (KubeCon, Meetups, etc)	6	7	5		4	3		5	5		6		6		Yes	4			
2/16/2017 14:44:15	I am a Kubernetes user	< 1 year		4	7	4		5	4		4	5		5		4	Use cases like postgres or kafka are still hard. For these examples, I don't want to use something like an EBS volume or ceph store, I'd like to take advantage of local storage better	No	7			
2/16/2017 14:48:33	I am a Kubernetes user, I am a Kubernetes developer, I am a Kubernetes community supporter	< 1 year	I have asked a question on Slack/Stack Overflow/etc, I have answered a question on Slack/Stack Overflow/etc, I have filed or commented on an issue, I have reviewed a pull request (PR), I have submitted a pull request (PR), I have held a Kubernetes community role (release owner, note taker, etc), I have participated in external Kubernetes community events (KubeCon, Meetups, etc)	6	4	4		5	5	finding an approachable piece of work to start on	2	4	feature prioritization	2	darwin based dev support	6		Yes	6	moving all addons/admission controllers to be off the control plane and be k8s pods		
2/16/2017 14:50:02	I am a Kubernetes user	< 1 year	I have asked a question on Slack/Stack Overflow/etc, I have answered a question on Slack/Stack Overflow/etc, I have reviewed a pull request (PR), I have submitted a pull request (PR)	7	7	4		7	7		1	4		1		1		No	1			
2/16/2017 14:58:08	I am a Kubernetes user	< 1 year	I have asked a question on Slack/Stack Overflow/etc, I have filed or commented on an issue	4	5	5		7	4		4	4		4		6		No	6			
2/16/2017 14:58:21	I am a Kubernetes developer	1 - 2 years	I have asked a question on Slack/Stack Overflow/etc, I have answered a question on Slack/Stack Overflow/etc, I have filed or commented on an issue, I have reviewed a pull request (PR), I have submitted a pull request (PR), I have participated in external Kubernetes community events (KubeCon, Meetups, etc)	7	7	7		7	7		5	7	PR review speed	5	PR review speed	7	adding container shell console	No	7			
2/16/2017 15:05:33	I am a Kubernetes user	1 - 2 years	I have asked a question on Slack/Stack Overflow/etc, I have answered a question on Slack/Stack Overflow/etc, I have filed or commented on an issue	5	6	7		7	6	lack of expertise. Finding easy things to contribute	6	5		3	There are some very complex technologies at play. Not sure I have the expertise. Perhaps a "plugin" architecture where functionality can be safely extended	5	Helm has been great. There is still a long way to go. Managing minor env differences is still painful. For example, ingress is slightly different on each environment	Yes	5	Managing long term persistent data still feels risky.  Example: On GKE, tearing down a cluster, and then restarting a new one - how do I reattach my previous PVCs. This scares me.		
2/16/2017 15:07:06	I am a Kubernetes user, I am a Kubernetes developer, I am a Kubernetes developer relations or evangelism	< 1 year	I have asked a question on Slack/Stack Overflow/etc, I have answered a question on Slack/Stack Overflow/etc, I have filed or commented on an issue, I have submitted a pull request (PR), I have participated in external Kubernetes community events (KubeCon, Meetups, etc)	6	6	7		7	7	Find time, I love it and I hack on it whenever I have time. Not sure if the new "everything via SIGs" approach works easily with people working on spare time, but will see :)	7	7		6		6		No	4	When things go wrong, it's difficult to understand if kube-proxy was not working or what was happening		
2/16/2017 15:13:50	I am a Kubernetes SRE/Operator	2 - 3 years	I have asked a question on Slack/Stack Overflow/etc, I have answered a question on Slack/Stack Overflow/etc, I have filed or commented on an issue	3	3	3		4	3		6	4		2		2		No	3			
2/16/2017 15:14:55	I am a Kubernetes developer	2 - 3 years	I have answered a question on Slack/Stack Overflow/etc, I have filed or commented on an issue, I have reviewed a pull request (PR), I have submitted a pull request (PR), I have participated in external Kubernetes community events (KubeCon, Meetups, etc)	4	4	3	More focus on code quality.	5	5		5	5		6		7		Yes	7			
2/16/2017 15:16:55	I am a Kubernetes SRE/Operator	< 1 year	I have asked a question on Slack/Stack Overflow/etc	5	6	4		4	4	Relative newness; Only got started in the last month.	4	5		6	Better tooling around merging configs into objects.	7	Clearer editing.	No	6	Improvements to kops.		
2/16/2017 15:17:27	I am a Kubernetes SRE/Operator, I am a Kubernetes user, I am a Kubernetes developer, I am a Kubernetes community supporter, I am a Kubernetes developer relations or evangelism	< 1 year	I have asked a question on Slack/Stack Overflow/etc, I have answered a question on Slack/Stack Overflow/etc, I have filed or commented on an issue, I have reviewed a pull request (PR), I have participated in external Kubernetes community events (KubeCon, Meetups, etc)	5	6	4		6	5	howto debug a component with golang	3	3		4	secured HA bootstrap is still in the works.	6		No	4			
2/16/2017 15:25:28	I am a Kubernetes SRE/Operator, I am a Kubernetes developer	1 - 2 years	I have asked a question on Slack/Stack Overflow/etc, I have answered a question on Slack/Stack Overflow/etc, I have participated in external Kubernetes community events (KubeCon, Meetups, etc)	7	7	7		7	5		7	7		5		6	Shared configuration and performance information	Yes	7			
2/16/2017 15:53:43	I am a Kubernetes user, I am a Kubernetes developer	2 - 3 years	I have filed or commented on an issue, I have reviewed a pull request (PR), I have submitted a pull request (PR), I have held a Kubernetes community role (release owner, note taker, etc), I have participated in external Kubernetes community events (KubeCon, Meetups, etc)	4	1	3		4	4		3	3		2		6		Yes	6			
2/16/2017 16:14:42	I am a Kubernetes user, I am a Kubernetes developer	< 1 year	I have asked a question on Slack/Stack Overflow/etc, I have filed or commented on an issue, I have submitted a pull request (PR)	5	7	4		5	6	Finding manageable help-wanted type issues to learn the code base. 	3	3	on-boarding new contributors	5		6		Yes	6			
2/16/2017 16:22:45	I am a Kubernetes developer	2 - 3 years	I have answered a question on Slack/Stack Overflow/etc, I have filed or commented on an issue, I have reviewed a pull request (PR), I have submitted a pull request (PR), I have held a Kubernetes community role (release owner, note taker, etc), I have participated in external Kubernetes community events (KubeCon, Meetups, etc)	4	4	7		7	7		3	7	large-scale changes (splitting into more repos, "approvers", etc.) seem to be made without adequate preparation (implementing federated testing, properly populating all of the OWNERS files, etc.). This hurts the developer experience instead of helping it.	5								
2/16/2017 16:34:06	I am a Kubernetes SRE/Operator, I am a Kubernetes user, I am a Kubernetes developer	< 1 year	I have asked a question on Slack/Stack Overflow/etc, I have answered a question on Slack/Stack Overflow/etc, I have filed or commented on an issue, I have submitted a pull request (PR), I have participated in external Kubernetes community events (KubeCon, Meetups, etc)	3	6	4	Documentation	7	7	Where to start	2	3		3	Where to start, The rate of change is insane	6	This is actually pretty good	No	4	Need better guidelines on kube-system components, qos, best practices		
2/16/2017 16:57:18	I am a Kubernetes developer, I am a Kubernetes product manager	2 - 3 years	I have asked a question on Slack/Stack Overflow/etc, I have answered a question on Slack/Stack Overflow/etc, I have filed or commented on an issue, I have reviewed a pull request (PR), I have submitted a pull request (PR), I have held a Kubernetes community role (release owner, note taker, etc), I have participated in external Kubernetes community events (KubeCon, Meetups, etc)	5	5	5	Prioritize improving communication and development efficiency through better hierarchical code structuring and decision making.	6	6	Ineffective and inefficient processes and tools involved in getting code submissions merged.	5	4	Reviewing, approving and merging designs and code.	3	More stable CI testing, more organized review process and tools	6	Better kubectl documentation and consistency, more script-friendly kubectl output.	Yes	5	Better installation and upgrade tools.		
2/16/2017 17:05:29	I am a Kubernetes SRE/Operator, I am a Kubernetes user, I am a Kubernetes developer	2 - 3 years	I have asked a question on Slack/Stack Overflow/etc, I have answered a question on Slack/Stack Overflow/etc, I have filed or commented on an issue, I have submitted a pull request (PR), I have participated in external Kubernetes community events (KubeCon, Meetups, etc)	5	7	7	More stability and maturity, especially in terms of kubectl apply and TPR's.	7	7	Difficulty in setting up a productive dev environment, and long wait times and flakes for PR tests and merges.	7	7	Sharing of best practices of how to develop and test Kubernetes itself	2	More clear workflows on how to develop and test... how does one know where to start? Where is local-up-cluster documented? Do I have to develop on Linux, and if not, how do I do so on Mac?	6	Better supported kubectl apply and flows for managing and rolling changes across multiple environments (dev, staging, prod) and clusters (non-prod, prod1, prod2, etc.).	No	5	Settle on one solution - kubeadm, kops, kube-up is comically fragmented. Docker swarm init is the gold standard here.		Kubernetes is incontrovertibly the future. It's just a matter of how quickly and efficiently we get there. :)
2/16/2017 17:23:42	I am a Kubernetes SRE/Operator, I am a Kubernetes developer	2 - 3 years	I have asked a question on Slack/Stack Overflow/etc, I have answered a question on Slack/Stack Overflow/etc, I have filed or commented on an issue, I have reviewed a pull request (PR), I have submitted a pull request (PR), I have participated in external Kubernetes community events (KubeCon, Meetups, etc)	6	4	6		5	6	inadequate documentation probably	4	5		4	simplifying local build/test/release tools			Yes	7			
2/16/2017 17:41:41	I am a Kubernetes developer	1 - 2 years	I have filed or commented on an issue, I have reviewed a pull request (PR), I have submitted a pull request (PR), I have held a Kubernetes community role (release owner, note taker, etc)	4	5	6		7	6	Tring to incorporate the development for general requirements/features bewteen upstream and our commercial version -- two main gaps, 1. fork HEAD aren't always up to date with upstream, 2. different developing/releasing rhythm between fork and upstream.	4	5	Make meetings time friendly for Asia contributors.	5		5	Improve support on stateful applications, storage integration and management, multi-plane network	No	5			
2/16/2017 17:48:55	I am a Kubernetes user, I am a Kubernetes developer	< 1 year	I have asked a question on Slack/Stack Overflow/etc, I have answered a question on Slack/Stack Overflow/etc, I have filed or commented on an issue, I have submitted a pull request (PR)	5	6	5		5	5		4	5		7		7		No	7			
2/16/2017 17:52:37	I am a Kubernetes community supporter	1 - 2 years	I have filed or commented on an issue, I have participated in external Kubernetes community events (KubeCon, Meetups, etc)	6	7	7		7	7		6	7	on boarding new contributors 									
2/16/2017 18:01:47	I am a Kubernetes developer	1 - 2 years	I have asked a question on Slack/Stack Overflow/etc, I have answered a question on Slack/Stack Overflow/etc, I have filed or commented on an issue, I have reviewed a pull request (PR), I have submitted a pull request (PR), I have participated in external Kubernetes community events (KubeCon, Meetups, etc)	5	7	5	Clear requirements about how to become a maintainer/reviewer	7	5	Getting PRs reviewed, figuring out features to work on	4	4	better issue and pr management	5	Quicker reviews of prs, ability te mark stale issues 	7	Better developer documentation	Yes	7	Integration of best features from deployment tools		It’s a blessing te be able to work with such a talented and welcoming community.
2/16/2017 18:10:11	I am a Kubernetes SRE/Operator, I am a Kubernetes user	1 - 2 years	I have asked a question on Slack/Stack Overflow/etc, I have answered a question on Slack/Stack Overflow/etc, I have filed or commented on an issue, I have reviewed a pull request (PR)	5	6	6		6	6		4	5		4	Easier to run end to end tests	6	Improved AWS EBS support	No	5	Improved upgrade process		
2/16/2017 18:33:01	I am a Kubernetes developer	< 1 year	I have asked a question on Slack/Stack Overflow/etc, I have answered a question on Slack/Stack Overflow/etc, I have filed or commented on an issue, I have submitted a pull request (PR)	7	7	6		7	7		7	7		7		7		No	7			
2/16/2017 18:53:09	I am a Kubernetes developer	< 1 year	I have asked a question on Slack/Stack Overflow/etc, I have filed or commented on an issue	3	4	2	about the external request to kubernete's app, support like session stick feature.	6	5		3	4		7		5		Yes	4			
2/16/2017 19:47:59	I am a Kubernetes developer	2 - 3 years	I have answered a question on Slack/Stack Overflow/etc, I have filed or commented on an issue, I have reviewed a pull request (PR), I have submitted a pull request (PR), I have held a Kubernetes community role (release owner, note taker, etc), I have participated in external Kubernetes community events (KubeCon, Meetups, etc)	6	4	5	Better able to extend kubernetes and consume high quality extensions	5	5	Many different small groups to talk to, hard to find the right people always	5	5		5	Better separation of Kubernetes pieces into independent projects	5	Integrated metrics and monitoring is weak, no feedback loops able to rely on them	No	5	Better security and attention to security w.r.t tenancy		Kubernetes is awesome
2/16/2017 19:48:41	I am a Kubernetes user	< 1 year	I have asked a question on Slack/Stack Overflow/etc, I have answered a question on Slack/Stack Overflow/etc, I have filed or commented on an issue, I have submitted a pull request (PR)	6	7	6		6	6	Finding good entry-level github issues	5	7		5	My biggest obstacle in contributing is my noobness, so most of that's on me. Since the dev guide is pretty good, the only improvement I can think of would be a video (or a few) walking users through the process of setting up an environment, fixing a bug, and setting up a cluster to test the fix. In particular, demonstrating productivity tips (e.g.“when you're fixing a kubelet bug, you could save time when testing by simply copying the binary up and…”  ).	7		No	6			
2/16/2017 20:45:27	I am a Kubernetes user	< 1 year	I have asked a question on Slack/Stack Overflow/etc, I have reviewed a pull request (PR), I have submitted a pull request (PR)	7	7	7		7	7		7	7		7		7		No	7			Thanks for Kubernetes
2/16/2017 22:15:14	I am a Kubernetes user, I am a Kubernetes developer	2 - 3 years	I have filed or commented on an issue, I have reviewed a pull request (PR), I have submitted a pull request (PR), I have held a Kubernetes community role (release owner, note taker, etc), I have participated in external Kubernetes community events (KubeCon, Meetups, etc)	6	6	7	finish things	7	7	so much communication	3	5	making large-scale project decisions	5	better control of github notifications	7	automatic SSL certs	Yes	7			
2/16/2017 23:46:29	I am a Kubernetes SRE/Operator, I am a Kubernetes user, I am a Kubernetes developer	2 - 3 years	I have asked a question on Slack/Stack Overflow/etc, I have answered a question on Slack/Stack Overflow/etc, I have filed or commented on an issue, I have submitted a pull request (PR), I have participated in external Kubernetes community events (KubeCon, Meetups, etc)	7	7	6		7	6		3	3		4		7		No	7			
2/17/2017 0:08:23	I am a Kubernetes user, I am a Kubernetes developer	1 - 2 years	I have answered a question on Slack/Stack Overflow/etc, I have filed or commented on an issue, I have participated in external Kubernetes community events (KubeCon, Meetups, etc)	5	5	6		6	6		4	5		4		3		Yes	5			
2/17/2017 0:09:34	I am a Kubernetes developer, I am a Kubernetes product manager, I am a Kubernetes developer relations or evangelism	2 - 3 years	I have filed or commented on an issue, I have reviewed a pull request (PR), I have submitted a pull request (PR), I have participated in external Kubernetes community events (KubeCon, Meetups, etc)	6	7	7	clearer governance and distinction between CNCF and k8s	5	6	Time zone and feeling that CNCF members govern	3	7	Governance is in the works. SIG are sprawling too much, too many places to listen to to get the info.	7	Light weight Go client, skeleton of a controller. Clean contributor docs. Clear leadership / roles.	7	make helm to tiller HTTP REST, instead of unneeded gRPC.	No	7	Clear solution about secrets encryption		Let's fix the governance iteratively...but overall the project is doing great let's not start putting ourselves down.
2/17/2017 0:24:36	I am a Kubernetes developer	< 1 year	I have asked a question on Slack/Stack Overflow/etc, I have answered a question on Slack/Stack Overflow/etc, I have filed or commented on an issue, I have reviewed a pull request (PR), I have submitted a pull request (PR)	5	7	6	Defining core. Select winners	5	6	Github workflow and notification system	6	5		4	Github notifications and review system. Gerrit rulez!	5		No	5			
2/17/2017 0:32:32	I am a Kubernetes SRE/Operator, I am a Kubernetes user, I am a Kubernetes developer	< 1 year	I have filed or commented on an issue, I have participated in external Kubernetes community events (KubeCon, Meetups, etc)	5	6	6		5	5	the amount of things going on and features is hard to swim into, especially as a newcomer. It is not easy to find the status of features, approved designs etc...	3	4		4		5		No	6			
2/17/2017 0:51:31	I am a Kubernetes developer, I am a Kubernetes community supporter, I am a Kubernetes developer relations or evangelism	< 1 year	I have asked a question on Slack/Stack Overflow/etc, I have answered a question on Slack/Stack Overflow/etc, I have filed or commented on an issue, I have reviewed a pull request (PR), I have submitted a pull request (PR), I have participated in external Kubernetes community events (KubeCon, Meetups, etc)	4	6	6		7	5		4	5		4	Improve build process. Also, testing for cloudprividers	5		No				
